student_code,name,email
SV400,Sinh Viên 400,sv400@example.com
SV401,Sinh Viên 401,sv401@example.com
SV402,Sinh Viên 402,sv402@example.com
SV403,Sinh Viên 403,sv403@example.com
SV404,Sinh Viên 404,sv404@example.com
SV405,Sinh Viên 405,sv405@example.com
SV406,Sinh Viên 406,sv406@example.com
SV407,Sinh Viên 407,sv407@example.com
SV408,Sinh Viên 408,sv408@example.com
SV409,Sinh Viên 409,sv409@example.com
SV410,Sinh Viên 410,sv410@example.com
SV411,Sinh Viên 411,sv411@example.com
SV412,Sinh Viên 412,sv412@example.com
SV413,Sinh Viên 413,sv413@example.com
SV414,Sinh Viên 414,sv414@example.com
SV415,Sinh Viên 415,sv415@example.com
SV416,Sinh Viên 416,sv416@example.com
SV417,Sinh Viên 417,sv417@example.com
SV418,Sinh Viên 418,sv418@example.com
SV419,Sinh Viên 419,sv419@example.com
SV420,Sinh Viên 420,sv420@example.com
SV421,Sinh Viên 421,sv421@example.com
SV422,Sinh Viên 422,sv422@example.com
SV423,Sinh Viên 423,sv423@example.com
SV424,Sinh Viên 424,sv424@example.com
SV425,Sinh Viên 425,sv425@example.com
SV426,Sinh Viên 426,sv426@example.com
SV427,Sinh Viên 427,sv427@example.com
SV428,Sinh Viên 428,sv428@example.com
SV429,Sinh Viên 429,sv429@example.com
SV430,Sinh Viên 430,sv430@example.com
SV431,Sinh Viên 431,sv431@example.com
SV432,Sinh Viên 432,sv432@example.com
SV433,Sinh Viên 433,sv433@example.com
SV434,Sinh Viên 434,sv434@example.com
SV435,Sinh Viên 435,sv435@example.com
SV436,Sinh Viên 436,sv436@example.com
SV437,Sinh Viên 437,sv437@example.com
SV438,Sinh Viên 438,sv438@example.com
SV439,Sinh Viên 439,sv439@example.com
SV440,Sinh Viên 440,sv440@example.com
SV441,Sinh Viên 441,sv441@example.com
SV442,Sinh Viên 442,sv442@example.com
SV443,Sinh Viên 443,sv443@example.com
SV444,Sinh Viên 444,sv444@example.com
SV445,Sinh Viên 445,sv445@example.com
SV446,Sinh Viên 446,sv446@example.com
SV447,Sinh Viên 447,sv447@example.com
SV448,Sinh Viên 448,sv448@example.com
SV449,Sinh Viên 449,sv449@example.com
SV450,Sinh Viên 450,sv450@example.com
SV451,Sinh Viên 451,sv451@example.com
SV452,Sinh Viên 452,sv452@example.com
SV453,Sinh Viên 453,sv453@example.com
SV454,Sinh Viên 454,sv454@example.com
SV455,Sinh Viên 455,sv455@example.com
SV456,Sinh Viên 456,sv456@example.com
SV457,Sinh Viên 457,sv457@example.com
SV458,Sinh Viên 458,sv458@example.com
SV459,Sinh Viên 459,sv459@example.com
SV460,Sinh Viên 460,sv460@example.com
SV461,Sinh Viên 461,sv461@example.com
SV462,Sinh Viên 462,sv462@example.com
SV463,Sinh Viên 463,sv463@example.com
SV464,Sinh Viên 464,sv464@example.com
SV465,Sinh Viên 465,sv465@example.com
SV466,Sinh Viên 466,sv466@example.com
SV467,Sinh Viên 467,sv467@example.com
SV468,Sinh Viên 468,sv468@example.com
SV469,Sinh Viên 469,sv469@example.com
SV470,Sinh Viên 470,sv470@example.com
SV471,Sinh Viên 471,sv471@example.com
SV472,Sinh Viên 472,sv472@example.com
SV473,Sinh Viên 473,sv473@example.com
SV474,Sinh Viên 474,sv474@example.com
SV475,Sinh Viên 475,sv475@example.com
SV476,Sinh Viên 476,sv476@example.com
SV477,Sinh Viên 477,sv477@example.com
SV478,Sinh Viên 478,sv478@example.com
SV479,Sinh Viên 479,sv479@example.com
SV480,Sinh Viên 480,sv480@example.com
SV481,Sinh Viên 481,sv481@example.com
SV482,Sinh Viên 482,sv482@example.com
SV483,Sinh Viên 483,sv483@example.com
SV484,Sinh Viên 484,sv484@example.com
SV485,Sinh Viên 485,sv485@example.com
SV486,Sinh Viên 486,sv486@example.com
SV487,Sinh Viên 487,sv487@example.com
SV488,Sinh Viên 488,sv488@example.com
SV489,Sinh Viên 489,sv489@example.com
SV490,Sinh Viên 490,sv490@example.com
SV491,Sinh Viên 491,sv491@example.com
SV492,Sinh Viên 492,sv492@example.com
SV493,Sinh Viên 493,sv493@example.com
SV494,Sinh Viên 494,sv494@example.com
SV495,Sinh Viên 495,sv495@example.com
SV496,Sinh Viên 496,sv496@example.com
SV497,Sinh Viên 497,sv497@example.com
SV498,Sinh Viên 498,sv498@example.com
SV499,Sinh Viên 499,sv499@example.com
